
Profile Time: 01:12:18
Profile Date: 12/01/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/01/18 01:16:03  9.21   0.09   0.04   4.009  7.56    25.5   4.2   9.65
12/01/18 01:16:04  9.21   0.09   0.04   4.029  7.56    25.5   4.2   9.65
12/01/18 01:16:05  9.20   0.09   0.04   4.047  7.56    25.5   4.4   9.66
12/01/18 01:16:06  9.19   0.09   0.04   4.067  7.56    25.5   4.5   9.66
12/01/18 01:16:07  9.19   0.09   0.04   4.088  7.56    25.5   4.8   9.66
12/01/18 01:16:08  9.18   0.09   0.04   4.105  7.56    25.4   5.1   9.66
12/01/18 01:16:09  9.17   0.09   0.04   4.122  7.56    25.4   5.5   9.66
12/01/18 01:16:10  9.17   0.09   0.04   4.143  7.56    25.4   5.9   9.66
12/01/18 01:16:11  9.17   0.09   0.04   4.162  7.56    25.4   6.3   9.67
12/01/18 01:16:12  9.16   0.09   0.04   4.184  7.56    25.3   6.7   9.67
12/01/18 01:16:13  9.16   0.09   0.04   4.200  7.56    25.3   7.1   9.67
12/01/18 01:16:14  9.16   0.09   0.04   4.220  7.56    25.3   7.5   9.68
12/01/18 01:16:15  9.15   0.09   0.04   4.240  7.56    25.3   7.8   9.67
12/01/18 01:16:16  9.15   0.09   0.04   4.259  7.56    25.2   8.0   9.68
12/01/18 01:16:17  9.15   0.09   0.04   4.280  7.56    25.2   8.2   9.68
12/01/18 01:16:18  9.15   0.09   0.04   4.303  7.56    25.2   8.3   9.68
12/01/18 01:16:19  9.15   0.09   0.04   4.319  7.56    25.3   8.3   9.69
12/01/18 01:16:20  9.14   0.09   0.04   4.340  7.56    25.3   8.3   9.69
12/01/18 01:16:21  9.14   0.09   0.04   4.360  7.56    25.4   8.1   9.69
12/01/18 01:16:22  9.14   0.09   0.04   4.378  7.56    25.5   7.9   9.69
