
Profile Time: 00:14:58
Profile Date: 12/06/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky      
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/06/18 00:19:45 10.46   0.12   0.06   5.231  7.76    16.9   4.5   9.82
12/06/18 00:19:46 10.46   0.12   0.06   5.252  7.76    17.0   4.6   9.81
12/06/18 00:19:47 10.47   0.12   0.06   5.269  7.76    17.1   4.8   9.81
12/06/18 00:19:48 10.47   0.12   0.06   5.289  7.75    17.2   4.9   9.81
12/06/18 00:19:49 10.47   0.12   0.06   5.310  7.76    17.3   5.1   9.80
12/06/18 00:19:50 10.48   0.12   0.06   5.328  7.76    17.4   5.2   9.80
12/06/18 00:19:51 10.48   0.12   0.06   5.349  7.75    17.5   5.4   9.79
12/06/18 00:19:52 10.48   0.12   0.06   5.368  7.76    17.6   5.5   9.79
12/06/18 00:19:53 10.49   0.12   0.06   5.387  7.76    17.6   5.6   9.79
12/06/18 00:19:54 10.49   0.12   0.06   5.407  7.76    17.6   5.6   9.78
12/06/18 00:19:55 10.49   0.12   0.06   5.425  7.76    17.5   5.6   9.77
12/06/18 00:19:56 10.49   0.12   0.06   5.445  7.75    17.5   5.6   9.77
12/06/18 00:19:57 10.49   0.12   0.06   5.466  7.75    17.3   5.6   9.77
12/06/18 00:19:58 10.48   0.12   0.06   5.482  7.76    17.2   5.5   9.78
12/06/18 00:19:59 10.47   0.12   0.06   5.503  7.76    17.1   5.4   9.79
12/06/18 00:20:00 10.47   0.12   0.06   5.522  7.76    17.0   5.3   9.78
12/06/18 00:20:01 10.47   0.12   0.06   5.540  7.76    16.9   5.2   9.79
12/06/18 00:20:02 10.47   0.12   0.06   5.562  7.76    16.8   5.1   9.79
12/06/18 00:20:03 10.47   0.12   0.06   5.582  7.76    16.7   5.0   9.79
12/06/18 00:20:04 10.47   0.12   0.06   5.600  7.76    16.7   4.9   9.79
